content,at,appVersion,POSITIVE SCORE,NEGATIVE SCORE,NEUTRAL SCORE,COMPOUND SCORE,Sentiment
Not good sarvice do not take stc sim i hate this why cut my number riyalenraged faceenraged faceenraged faceenraged face,2023-05-25 16:10:14,,5.3,33.5,61.199999999999996,-78.49000000000001,Negative
Jasim Uddin number,2023-05-25 12:59:18,4.36.0,39.4,0.0,60.6,7.720000000000001,Positive
best apps,2023-05-25 08:33:48,4.35.0,80.80000000000001,0.0,19.2,63.690000000000005,Positive
I overpaid my bill When trying to refund opened a ticket They closed it asking for bank Iban certificate did not even know it was closed I had to contact number Tried to open ticket again it gives error Visited store to solve my issue and they say it takes time after filling out info on a paper and handed over my Iban certificate Still much provement required,2023-05-25 08:18:13,4.37.0,4.6,4.0,91.3,-15.310000000000002,Negative
Good,2023-05-24 22:17:37,4.36.0,100.0,0.0,0.0,44.04,Positive
,2023-05-24 22:03:01,4.36.0,0.0,0.0,0.0,0.0,Neutral
Fairly precise app,2023-05-24 21:54:00,4.37.0,0.0,0.0,100.0,0.0,Neutral
good apps,2023-05-24 18:19:38,4.35.0,74.4,0.0,25.6,44.04,Positive
Not cool,2023-05-24 15:33:52,,0.0,66.2,33.800000000000004,-24.11,Negative
Good service in Saudi Arabia,2023-05-24 11:43:55,4.36.0,42.0,0.0,57.99999999999999,44.04,Positive
I hate this app with passion for its frequent demands for updates Updates are too frequent and every update is mandatory As if this is not bad enough you still need to relogin,2023-05-24 10:45:09,4.37.0,18.4,9.5,72.1,35.06,Positive
,2023-05-24 09:15:29,4.36.0,0.0,0.0,0.0,0.0,Neutral
Goodthumbs upthumbs upthumbs up,2023-05-24 09:10:41,4.37.0,0.0,0.0,100.0,0.0,Neutral
Excellent,2023-05-24 03:56:04,4.36.0,100.0,0.0,0.0,57.19,Positive
Its a wow,2023-05-24 02:32:38,,79.2,0.0,20.8,58.589999999999996,Positive
Good,2023-05-24 00:30:27,4.37.0,100.0,0.0,0.0,44.04,Positive
ITS good,2023-05-24 00:00:17,4.36.0,74.4,0.0,25.6,44.04,Positive
Thank you,2023-05-23 18:41:52,,71.39999999999999,0.0,28.599999999999998,36.120000000000005,Positive
Nice app,2023-05-23 14:12:50,4.35.0,73.7,0.0,26.3,42.15,Positive
good aps,2023-05-23 13:17:35,,74.4,0.0,25.6,44.04,Positive
WORST CUSTOMER SERVICE ON EARTH A TELECOMS COMPANY THAT DOES NOT CARE ABOIT CUSTOMERS YOU WILL HAVE TO TALK TO A BOT AND GET NO WHERE NEVER GET WIFI OR FIBER FROM THEM The ABSOLUTE WORST Update numberth day Still nobody called No care for customers Update number days later  No Response They keep saying use this sapp number day STC would not fix it or answer a call numberth day the app is useless without STC number Update numberth day I give up STUPID PEOPLE DO NOT REALISE THAT THIS DUMB APP IS BROKEN,2023-05-23 12:07:29,4.37.0,6.0,29.4,64.7,-98.47,Negative
Good thumbs upsmiling face with smiling eyes,2023-05-23 11:19:02,4.36.0,54.1,0.0,45.9,70.96000000000001,Positive
The Wrost App I ever been Use it is too much time to just open is this a joke,2023-05-23 10:04:32,4.37.0,13.5,0.0,86.5,36.120000000000005,Positive
,2023-05-23 10:00:19,4.37.0,0.0,0.0,0.0,0.0,Neutral
Goodthumbs up,2023-05-23 09:04:10,4.37.0,0.0,0.0,100.0,0.0,Neutral
Best,2023-05-23 08:03:33,3.16.0,100.0,0.0,0.0,63.690000000000005,Positive
,2023-05-23 07:15:27,4.36.0,0.0,0.0,0.0,0.0,Neutral
I paid my home internet bill number riyal and my post paid bill of number riyals through pay option of the app and both payments went missing Bank says they have cleared STC says they have not received and I had to pay again I have visited STC office number times given then stamped bank statement nothing happened Very poor customer service,2023-05-23 03:14:21,4.37.0,12.6,7.8,79.60000000000001,26.650000000000002,Positive
Okay,2023-05-23 02:46:47,4.36.0,100.0,0.0,0.0,22.63,Positive
The app is good but very slow,2023-05-23 02:00:53,4.36.0,24.5,0.0,75.5,23.82,Positive
,2023-05-22 22:00:29,4.36.0,0.0,0.0,0.0,0.0,Neutral
Such a good app straight to the point amazing recommend clapping handsclapping hands,2023-05-22 21:08:52,4.36.0,58.099999999999994,0.0,41.9,87.79,Positive
I Vv,2023-05-22 20:18:47,4.36.0,0.0,0.0,100.0,0.0,Neutral
I think the application should be open without code,2023-05-22 13:05:10,4.35.0,0.0,0.0,100.0,0.0,Neutral
Best network ksa,2023-05-22 12:32:44,4.37.0,67.7,0.0,32.300000000000004,63.690000000000005,Positive
Overall Makes life easier,2023-05-22 12:28:43,4.36.0,48.3,0.0,51.7,42.15,Positive
Useless have to enter number and send code everytime,2023-05-22 11:29:23,4.34.0,11.700000000000001,25.2,63.1,-36.120000000000005,Negative
Wow,2023-05-22 11:21:21,4.36.0,100.0,0.0,0.0,58.589999999999996,Positive
STC is the Top thanks stc teams saluting face,2023-05-22 10:19:51,4.36.0,40.2,0.0,59.8,57.19,Positive
Well i do not even remember that i register in any stc tv  every time i got deduction  which makes me confuse i only register or subscribe for internet data base but i always have an alert notice regarding the stc tv or what ever it is Then after a while my balance was lostso i decide maybe i just change my sim to another network for a better good consumption Its been a year i am using stc and i am so very disappointed,2023-05-22 10:18:03,4.37.0,14.099999999999998,7.6,78.4,68.01,Positive
Easy to use,2023-05-22 09:15:10,4.37.0,59.199999999999996,0.0,40.8,44.04,Positive
Nice,2023-05-22 08:50:38,4.37.0,100.0,0.0,0.0,42.15,Positive
As i said i cannot add both mada and credit card in payment mangement After entering card details money get debited from the account  But stc app shows error message that my bank refuse the transaction and cannot add the card But i check with bank they said number riyal i debited by stc and after sometime number riyal is been reveresed,2023-05-22 08:28:55,4.37.0,7.3,9.9,82.69999999999999,-56.47,Negative
So there is no way to transfer your line to STC I want to transfer my line to STC but there is a bug in your system mySTC app do not allow me because I am not a registered user and if I want to register the app said I do not have line with STC so I cannot register If I try the stc website it says go to mySTC app So I am stuck on loop When I contacted the Twitter support they said contact live support through the app which is again available to only registered user Nice design dev,2023-05-22 08:16:42,4.37.0,12.8,6.3,80.9,77.51,Positive
thumbs down,2023-05-22 07:28:36,4.36.0,0.0,0.0,100.0,0.0,Neutral
Osadaron,2023-05-22 07:09:17,,0.0,0.0,100.0,0.0,Neutral
number number,2023-05-22 06:11:20,4.37.0,100.0,0.0,0.0,15.310000000000002,Positive
Nice App,2023-05-22 02:59:22,4.36.0,73.7,0.0,26.3,42.15,Positive
not bad,2023-05-22 02:31:13,4.36.0,74.0,0.0,26.0,43.1,Positive
good service,2023-05-22 01:53:53,4.36.0,74.4,0.0,25.6,44.04,Positive
Excellent Application More option I use more impressed,2023-05-22 00:50:29,4.37.0,58.699999999999996,0.0,41.3,79.60000000000001,Positive
Why there is difficulty in login,2023-05-21 22:17:19,4.37.0,0.0,32.4,67.60000000000001,-34.0,Negative
Good aap but some time out of city facing internet problems Hope you are fixed this problem thanku,2023-05-21 06:57:02,4.36.0,21.099999999999998,28.1,50.8,-44.74,Negative
,2023-05-21 06:06:35,,0.0,0.0,0.0,0.0,Neutral
I paid an subscription but did not activated But already take the payment,2023-05-20 17:32:00,4.36.0,0.0,0.0,100.0,0.0,Neutral
Good work,2023-05-20 00:35:06,,74.4,0.0,25.6,44.04,Positive
This app is trash it is not opening It is giving an error that app might not work properly sometimes,2023-05-18 18:15:19,,10.4,11.700000000000001,77.9,-7.720000000000001,Negative
Very useful,2023-05-18 06:46:06,4.33.0,76.2,0.0,23.799999999999997,49.27,Positive
It keeps getting hang again n again  worst update,2023-05-18 04:10:31,4.36.0,0.0,36.9,63.1,-62.49,Negative
its good,2023-05-17 02:56:37,4.36.0,74.4,0.0,25.6,44.04,Positive
nice,2023-05-17 01:37:07,4.36.0,100.0,0.0,0.0,42.15,Positive
Excellent,2023-05-17 01:14:44,,100.0,0.0,0.0,57.19,Positive
Good servants And very faster telecommunications,2023-05-16 22:32:23,4.36.0,36.7,0.0,63.3,44.04,Positive
Hi my problem is when I want to sign in no number s seen and they said already sendso I cannot sign in please help,2023-05-16 22:16:47,,18.8,24.4,56.8,-37.4,Negative
good,2023-05-16 21:22:19,4.36.0,100.0,0.0,0.0,44.04,Positive
divfoh,2023-05-16 21:08:49,4.36.0,0.0,0.0,100.0,0.0,Neutral
Really good to use,2023-05-16 20:38:45,4.35.0,51.6,0.0,48.4,49.27,Positive
excellent network,2023-05-16 13:19:23,4.36.0,78.7,0.0,21.3,57.19,Positive
I cannot even go through the first screen It always says session is expired,2023-05-16 11:48:18,4.36.0,0.0,0.0,100.0,0.0,Neutral
excellent,2023-05-16 11:47:39,4.36.0,100.0,0.0,0.0,57.19,Positive
the best,2023-05-16 08:54:03,4.36.0,80.80000000000001,0.0,19.2,63.690000000000005,Positive
Any time login paswd incorrect,2023-05-16 08:20:02,4.36.0,0.0,0.0,100.0,0.0,Neutral
very good,2023-05-16 07:51:49,4.36.0,76.2,0.0,23.799999999999997,49.27,Positive
nice apps,2023-05-16 07:36:36,4.36.0,73.7,0.0,26.3,42.15,Positive
very nice thumbs up,2023-05-16 03:28:52,4.36.0,50.8,0.0,49.2,47.54,Positive
Nice one stc,2023-05-16 02:45:56,4.36.0,58.3,0.0,41.699999999999996,42.15,Positive
good experience,2023-05-16 01:17:52,4.36.0,74.4,0.0,25.6,44.04,Positive
Good app but recharge method is difficult,2023-05-16 00:31:19,,19.1,31.900000000000002,49.0,-31.819999999999997,Negative
very nice sevice,2023-05-15 23:48:03,4.36.0,60.699999999999996,0.0,39.300000000000004,47.54,Positive
,2023-05-15 23:31:42,4.36.0,0.0,0.0,0.0,0.0,Neutral
thumbs upthumbs upthumbs up,2023-05-15 15:17:25,4.36.0,0.0,0.0,100.0,0.0,Neutral
excellent servicecoverage strenth is best than other networkshighly recomendi sugess can you give some budget packegs most value for every resident,2023-05-15 14:11:27,4.36.0,37.0,0.0,63.0,89.08,Positive
Very fast and easy to assess,2023-05-15 12:22:21,4.35.0,38.800000000000004,0.0,61.199999999999996,48.77,Positive
,2023-05-15 12:04:52,4.36.0,0.0,0.0,0.0,0.0,Neutral
it is good network,2023-05-15 11:15:46,4.36.0,49.2,0.0,50.8,44.04,Positive
great and easy app,2023-05-15 11:00:00,4.36.0,77.8,0.0,22.2,79.06,Positive
Credit card payment sometimes hang and it does not inform the user the source of the problem,2023-05-15 10:07:02,4.36.0,12.8,13.3,73.9,-2.58,Negative
