content,at,appVersion,POSITIVE SCORE,NEGATIVE SCORE,NEUTRAL SCORE,COMPOUND SCORE,Sentiment
Very Poor Application Specially For International Transactions I personally recommend that do not Use This Application,2023-06-12 09:31:27,1.10.30,13.200000000000001,18.0,68.8,-22.470000000000002,Negative
Not receive otp person shrugging light skin tone,2023-06-12 08:50:26,,0.0,0.0,100.0,0.0,Neutral
Very good application thumbs up,2023-06-12 07:29:48,1.10.30,44.4,0.0,55.60000000000001,49.27,Positive
number August           stc pay             number July,2023-06-12 03:28:26,1.10.30,37.1,20.0,42.9,5.16,Positive
nice,2023-06-12 02:36:11,,100.0,0.0,0.0,42.15,Positive
Perfect,2023-06-11 13:06:56,,100.0,0.0,0.0,57.19,Positive
Work for number seconds then crashes every time,2023-06-11 12:46:18,,15.7,0.0,84.3,7.720000000000001,Positive
Nicc app mony tarnsfar,2023-06-11 11:51:02,,0.0,0.0,100.0,0.0,Neutral
Good workbackhand index pointing rightred heart,2023-06-11 06:21:13,1.10.30,36.7,0.0,63.3,44.04,Positive
Good,2023-06-10 20:52:56,1.10.30,100.0,0.0,0.0,44.04,Positive
Otp is super late and when you ask for a new one they will give you the old one Same as before Super late otp sometime the otp will arrive numbermins late or a hour late yoi have to request a new otp the same thing will happen invalid otp again and again,2023-06-10 19:32:09,1.10.30,14.000000000000002,0.0,86.0,83.16,Positive
Very good,2023-06-10 14:53:25,,76.2,0.0,23.799999999999997,49.27,Positive
One of the best money transfer app in saudi,2023-06-10 13:57:31,,34.4,0.0,65.60000000000001,63.690000000000005,Positive
Good app,2023-06-10 10:20:50,,74.4,0.0,25.6,44.04,Positive
i cannot open my stcpayalways technical issue and try again later,2023-06-10 06:17:34,1.10.30,0.0,0.0,100.0,0.0,Neutral
Great app for international transfer  Local transfer thumbs up red heartred heart,2023-06-10 04:41:44,,27.200000000000003,0.0,72.8,62.49,Positive
Very bad experience from last year till this time,2023-06-10 02:10:17,1.10.30,0.0,32.2,67.80000000000001,-58.489999999999995,Negative
V good service,2023-06-10 02:04:15,,74.4,0.0,25.6,44.04,Positive
Nicely smooth,2023-06-10 00:48:45,,74.4,0.0,25.6,44.04,Positive
I called to this morning to stcpay around numbernumber am ksa time customer care  very poor customer service That call attender guy urdu was not good Now i decide to delete this stcpay app Try to send money anotherway I Am not satisfied with your customer support,2023-06-09 13:26:41,,11.1,15.299999999999999,73.5,-30.29,Negative
very good service,2023-06-09 13:06:56,,61.5,0.0,38.5,49.27,Positive
Its good,2023-06-09 12:29:37,,74.4,0.0,25.6,44.04,Positive
Superrr aap,2023-06-09 10:20:25,,0.0,0.0,100.0,0.0,Neutral
The best from this app is we cancel the transfer process fast and easily,2023-06-09 09:59:02,1.10.30,33.7,10.2,56.10000000000001,68.08,Positive
It is really a great apps for sending money to our home house with garden country,2023-06-09 07:51:56,1.10.30,23.9,0.0,76.1,65.9,Positive
very nice and very helpful applicationred heart,2023-06-09 07:26:22,,55.300000000000004,0.0,44.7,73.4,Positive
I admire who made this app hands up and praise for such wonderful works,2023-06-09 03:26:46,1.10.30,51.0,0.0,49.0,88.6,Positive
numbernumber,2023-06-09 02:42:07,,0.0,0.0,100.0,0.0,Neutral
Yes this application is very nice quickly send the money I am very enjoying this app thanks STC PAY,2023-06-08 20:55:13,1.10.30,45.0,7.8,47.199999999999996,88.21,Positive
I lost my mobile number which I registered with STCPay Tried to login with another number which is also on my iqama An OTP is coming to new number but when I try to login with passcode it say  we have some technical difficulty please help me,2023-06-08 17:36:07,1.10.30,19.2,9.2,71.6,49.39,Positive
Good service thumbs up Very easy thumbs up,2023-06-08 15:13:08,1.10.29,50.4,0.0,49.6,72.64,Positive
Really this is very nice and trustful app,2023-06-08 14:35:40,1.10.30,51.800000000000004,0.0,48.199999999999996,75.48,Positive
Good application,2023-06-08 14:03:13,1.10.30,74.4,0.0,25.6,44.04,Positive
Best aap Best aappppppppplll,2023-06-08 13:30:35,,80.80000000000001,0.0,19.2,85.55,Positive
Nice app,2023-06-08 13:21:41,,73.7,0.0,26.3,42.15,Positive
Very good aap,2023-06-08 13:11:10,,61.5,0.0,38.5,49.27,Positive
